date,arrival,departure,slot_arrival,slot_departure
2002.1.1,25273,20535,,
2002.1.2,29005,25957,,
2002.1.3,23532,28133,,
2002.1.4,21325,31923,,
2002.1.5,19965,29782,,
2002.1.6,25498,32022,,
2002.1.7,21942,28796,,
2002.1.8,18743,25980,,
2002.1.9,22808,27447,,
2002.1.10,19813,28270,,
2002.1.11,23643,29157,,
2002.1.12,27057,25262,,
2002.1.13,29585,26481,,
2002.1.14,27023,29715,,
2002.1.15,18726,24101,,
2002.1.16,28063,31191,,
2002.1.17,24787,29092,,
2002.1.18,28634,30572,,
2002.1.19,29545,25393,,
2002.1.20,34201,29119,,
2002.1.21,30890,28494,,
2002.1.22,25992,25988,,
2002.1.23,28682,29012,,
2002.1.24,24556,29106,,
2002.1.25,29390,30047,,
2002.1.26,29364,25914,,
2002.1.27,34322,28468,,
2002.1.28,32904,26611,,
2002.1.29,27180,22397,,
2002.1.30,30978,26358,,
2002.1.31,27126,25547,,
2002.2.1,28500,27143,,
2002.2.2,26610,22373,,
2002.2.3,30453,24167,,
2002.2.4,28742,20694,,
2002.2.5,24739,18898,,
2002.2.6,27779,23518,,
2002.2.7,24657,25497,,
2002.2.8,27468,31943,,
2002.2.9,30508,41167,,
2002.2.10,26041,37204,,
2002.2.11,23874,26771,,
2002.2.12,28486,15126,,
2002.2.13,45824,21415,,
2002.2.14,32767,21917,,
2002.2.15,28664,25411,,
2002.2.16,27627,26968,,
2002.2.17,31932,33511,,
2002.2.18,29304,31595,,
2002.2.19,26739,29301,,
2002.2.20,28605,32900,,
2002.2.21,23927,32521,,
2002.2.22,28233,33830,,
2002.2.23,28770,31193,,
2002.2.24,33140,33638,,
2002.2.25,31396,30232,,
2002.2.26,28698,26939,,
2002.2.27,31934,31428,,
2002.2.28,27960,33817,,
2002.3.1,31719,34642,,
2002.3.2,29924,25841,,
2002.3.3,35297,26866,,
2002.3.4,30769,25146,,
2002.3.5,25786,24766,,
2002.3.6,26441,27861,,
2002.3.7,24671,26958,,
2002.3.8,28937,27273,,
2002.3.9,27681,24055,,
2002.3.10,30116,29211,,
2002.3.11,27445,26169,,
2002.3.12,23769,24840,,
2002.3.13,25652,28510,,
2002.3.14,25051,27204,,
2002.3.15,27938,28389,,
2002.3.16,27845,25080,,
2002.3.17,31364,27998,,
2002.3.18,27676,26580,,
2002.3.19,24878,24487,,
2002.3.20,28215,28586,,
2002.3.21,26571,29032,,
2002.3.22,28686,28998,,
2002.3.23,27979,26855,,
2002.3.24,32649,30960,,
2002.3.25,31324,26394,,
2002.3.26,26836,25778,,
2002.3.27,29605,28994,,
2002.3.28,28570,28656,,
2002.3.29,30158,29233,,
2002.3.30,27490,26061,,
2002.3.31,29251,28970,,
2002.4.1,26794,28251,,
2002.4.2,22986,26202,,
2002.4.3,23737,30620,,
2002.4.4,21317,34621,,
2002.4.5,24201,37206,,
2002.4.6,26507,26667,,
2002.4.7,39398,28543,,
2002.4.8,31764,26278,,
2002.4.9,25696,24858,,
2002.4.10,25628,27826,,
2002.4.11,26307,25625,,
2002.4.12,32050,27592,,
2002.4.13,28676,23848,,
2002.4.14,31148,29783,,
2002.4.15,29363,27815,,
2002.4.16,25153,27197,,
2002.4.17,26527,29973,,
2002.4.18,27155,28224,,
2002.4.19,31099,29981,,
2002.4.20,28293,26310,,
2002.4.21,32695,31635,,
2002.4.22,28363,29493,,
2002.4.23,23068,26906,,
2002.4.24,26383,29878,,
2002.4.25,27386,28984,,
2002.4.26,30341,29594,,
2002.4.27,32093,25083,,
2002.4.28,34166,26664,,
2002.4.29,26314,28087,,
2002.4.30,23666,22499,,
2002.5.1,28451,24051,,
2002.5.2,28016,20904,,
2002.5.3,31538,24529,,
2002.5.4,23461,24906,,
2002.5.5,25206,32215,,
2002.5.6,22223,31838,,
2002.5.7,20043,26197,,
2002.5.8,24021,25930,,
2002.5.9,22387,25794,,
2002.5.10,25119,28015,,
2002.5.11,25258,24502,,
2002.5.12,32024,27884,,
2002.5.13,26516,25067,,
2002.5.14,23799,24491,,
2002.5.15,26752,29663,,
2002.5.16,26393,27531,,
2002.5.17,29425,29671,,
2002.5.18,29477,24696,,
2002.5.19,33033,27790,,
2002.5.20,28548,27679,,
2002.5.21,23142,25073,,
2002.5.22,26207,27750,,
2002.5.23,24784,27318,,
2002.5.24,27754,28134,,
2002.5.25,26893,23033,,
2002.5.26,31414,26353,,
2002.5.27,26619,23944,,
2002.5.28,20771,20708,,
2002.5.29,24276,22430,,
2002.5.30,27346,21481,,
2002.5.31,27138,22639,,
2002.6.1,22791,24393,,
2002.6.2,28037,26123,,
2002.6.3,27134,21560,,
2002.6.4,19694,20030,,
2002.6.5,22463,29328,,
2002.6.6,25750,30116,,
2002.6.7,27852,22352,,
2002.6.8,25754,20201,,
2002.6.9,37707,23635,,
2002.6.10,30955,23911,,
2002.6.11,21282,22339,,
2002.6.12,27011,27452,,
2002.6.13,24418,27197,,
2002.6.14,25093,31648,,
2002.6.15,23945,27380,,
2002.6.16,29348,26664,,
2002.6.17,22269,26899,,
2002.6.18,19231,23465,,
2002.6.19,20809,27470,,
2002.6.20,22473,26391,,
2002.6.21,27863,25275,,
2002.6.22,25378,22425,,
2002.6.23,29270,29582,,
2002.6.24,25894,28016,,
2002.6.25,23718,23427,,
2002.6.26,23039,32171,,
2002.6.27,21956,29333,,
2002.6.28,27506,31117,,
2002.6.29,28177,27124,,
2002.6.30,30296,30621,,
2002.7.1,29182,26654,,
2002.7.2,26380,23572,,
2002.7.3,28033,27827,,
2002.7.4,26180,26407,,
2002.7.5,28951,29320,,
2002.7.6,26776,24405,,
2002.7.7,30838,30664,,
2002.7.8,28947,30495,,
2002.7.9,26649,26131,,
2002.7.10,28117,30531,,
2002.7.11,26507,31107,,
2002.7.12,30235,32976,,
2002.7.13,29901,32022,,
2002.7.14,31831,34669,,
2002.7.15,27704,32048,,
2002.7.16,23888,28116,,
2002.7.17,31188,33658,,
2002.7.18,27486,27447,,
2002.7.19,28922,30573,,
2002.7.20,30613,32240,,
2002.7.21,35218,31083,,
2002.7.22,28112,31366,,
2002.7.23,25781,30905,,
2002.7.24,30224,34181,,
2002.7.25,28618,34286,,
2002.7.26,30881,37554,,
2002.7.27,32210,37293,,
2002.7.28,36961,38583,,
2002.7.29,31650,38070,,
2002.7.30,29101,34434,,
2002.7.31,35352,41370,,
2002.8.1,33483,42483,,
2002.8.2,36436,40410,,
2002.8.3,40482,37522,,
2002.8.4,46928,36546,,
2002.8.5,41899,37050,,
2002.8.6,34335,32510,,
2002.8.7,39087,33078,,
2002.8.8,37527,32234,,
2002.8.9,37788,33857,,
2002.8.10,37150,35029,,
2002.8.11,43829,36279,,
2002.8.12,36655,34467,,
2002.8.13,32865,29723,,
2002.8.14,39448,37122,,
2002.8.15,38813,37914,,
2002.8.16,37900,34927,,
2002.8.17,37163,34216,,
2002.8.18,45622,33724,,
2002.8.19,42065,34557,,
2002.8.20,36487,29769,,
2002.8.21,38738,35257,,
2002.8.22,35126,32961,,
2002.8.23,37548,33631,,
2002.8.24,35001,33084,,
2002.8.25,41280,33706,,
2002.8.26,34571,33405,,
2002.8.27,29307,28930,,
2002.8.28,30815,32675,,
2002.8.29,28408,29677,,
2002.8.30,28511,31963,,
2002.8.31,26054,28962,,
2002.9.1,31697,30608,,
2002.9.2,27454,29772,,
2002.9.3,25010,26053,,
2002.9.4,27791,30419,,
2002.9.5,26100,29598,,
2002.9.6,30167,30818,,
2002.9.7,28536,26767,,
2002.9.8,33854,28750,,
2002.9.9,29088,27482,,
2002.9.10,26437,24908,,
2002.9.11,26592,25840,,
2002.9.12,26327,26943,,
2002.9.13,31276,27826,,
2002.9.14,32264,25263,,
2002.9.15,31927,26270,,
2002.9.16,27309,26888,,
2002.9.17,23501,22869,,
2002.9.18,24890,27152,,
2002.9.19,20515,36430,,
2002.9.20,21429,33963,,
2002.9.21,22212,16380,,
2002.9.22,36571,18706,,
2002.9.23,34638,25595,,
2002.9.24,27018,27404,,
