date,arrival,departure,slot_arrival,slot_departure,holiday_type
2002.1.1,25273,20535,,,1
2002.1.2,29005,25957,,,0
2002.1.3,23532,28133,,,0
2002.1.4,21325,31923,,,0
2002.1.5,19965,29782,,,1
2002.1.6,25498,32022,,,1
2002.1.7,21942,28796,,,0
2002.1.8,18743,25980,,,0
2002.1.9,22808,27447,,,0
2002.1.10,19813,28270,,,0
2002.1.11,23643,29157,,,0
2002.1.12,27057,25262,,,1
2002.1.13,29585,26481,,,1
2002.1.14,27023,29715,,,0
2002.1.15,18726,24101,,,0
2002.1.16,28063,31191,,,0
2002.1.17,24787,29092,,,0
2002.1.18,28634,30572,,,0
2002.1.19,29545,25393,,,1
2002.1.20,34201,29119,,,1
2002.1.21,30890,28494,,,0
2002.1.22,25992,25988,,,0
2002.1.23,28682,29012,,,0
2002.1.24,24556,29106,,,0
2002.1.25,29390,30047,,,0
2002.1.26,29364,25914,,,1
2002.1.27,34322,28468,,,1
2002.1.28,32904,26611,,,0
2002.1.29,27180,22397,,,0
2002.1.30,30978,26358,,,0
2002.1.31,27126,25547,,,0
2002.2.1,28500,27143,,,0
2002.2.2,26610,22373,,,1
2002.2.3,30453,24167,,,1
2002.2.4,28742,20694,,,0
2002.2.5,24739,18898,,,0
2002.2.6,27779,23518,,,0
2002.2.7,24657,25497,,,0
2002.2.8,27468,31943,,,0
2002.2.9,30508,41167,,,2
2002.2.10,26041,37204,,,2
2002.2.11,23874,26771,,,2
2002.2.12,28486,15126,,,2
2002.2.13,45824,21415,,,2
2002.2.14,32767,21917,,,0
2002.2.15,28664,25411,,,0
2002.2.16,27627,26968,,,1
2002.2.17,31932,33511,,,1
2002.2.18,29304,31595,,,0
2002.2.19,26739,29301,,,0
2002.2.20,28605,32900,,,0
2002.2.21,23927,32521,,,0
2002.2.22,28233,33830,,,0
2002.2.23,28770,31193,,,1
2002.2.24,33140,33638,,,1
2002.2.25,31396,30232,,,0
2002.2.26,28698,26939,,,0
2002.2.27,31934,31428,,,0
2002.2.28,27960,33817,,,0
2002.3.1,31719,34642,,,1
2002.3.2,29924,25841,,,1
2002.3.3,35297,26866,,,1
2002.3.4,30769,25146,,,0
2002.3.5,25786,24766,,,0
2002.3.6,26441,27861,,,0
2002.3.7,24671,26958,,,0
2002.3.8,28937,27273,,,0
2002.3.9,27681,24055,,,1
2002.3.10,30116,29211,,,1
2002.3.11,27445,26169,,,0
2002.3.12,23769,24840,,,0
2002.3.13,25652,28510,,,0
2002.3.14,25051,27204,,,0
2002.3.15,27938,28389,,,0
2002.3.16,27845,25080,,,1
2002.3.17,31364,27998,,,1
2002.3.18,27676,26580,,,0
2002.3.19,24878,24487,,,0
2002.3.20,28215,28586,,,0
2002.3.21,26571,29032,,,0
2002.3.22,28686,28998,,,0
2002.3.23,27979,26855,,,1
2002.3.24,32649,30960,,,1
2002.3.25,31324,26394,,,0
2002.3.26,26836,25778,,,0
2002.3.27,29605,28994,,,0
2002.3.28,28570,28656,,,0
2002.3.29,30158,29233,,,0
2002.3.30,27490,26061,,,1
2002.3.31,29251,28970,,,1
2002.4.1,26794,28251,,,0
2002.4.2,22986,26202,,,0
2002.4.3,23737,30620,,,0
2002.4.4,21317,34621,,,0
2002.4.5,24201,37206,,,1
2002.4.6,26507,26667,,,1
2002.4.7,39398,28543,,,1
2002.4.8,31764,26278,,,0
2002.4.9,25696,24858,,,0
2002.4.10,25628,27826,,,0
2002.4.11,26307,25625,,,0
2002.4.12,32050,27592,,,0
2002.4.13,28676,23848,,,1
2002.4.14,31148,29783,,,1
2002.4.15,29363,27815,,,0
2002.4.16,25153,27197,,,0
2002.4.17,26527,29973,,,0
2002.4.18,27155,28224,,,0
2002.4.19,31099,29981,,,0
2002.4.20,28293,26310,,,1
2002.4.21,32695,31635,,,1
2002.4.22,28363,29493,,,0
2002.4.23,23068,26906,,,0
2002.4.24,26383,29878,,,0
2002.4.25,27386,28984,,,0
2002.4.26,30341,29594,,,0
2002.4.27,32093,25083,,,1
2002.4.28,34166,26664,,,1
2002.4.29,26314,28087,,,0
2002.4.30,23666,22499,,,0
2002.5.1,28451,24051,,,0
2002.5.2,28016,20904,,,0
2002.5.3,31538,24529,,,0
2002.5.4,23461,24906,,,1
2002.5.5,25206,32215,,,1
2002.5.6,22223,31838,,,0
2002.5.7,20043,26197,,,0
2002.5.8,24021,25930,,,0
2002.5.9,22387,25794,,,0
2002.5.10,25119,28015,,,0
2002.5.11,25258,24502,,,1
2002.5.12,32024,27884,,,1
2002.5.13,26516,25067,,,0
2002.5.14,23799,24491,,,0
2002.5.15,26752,29663,,,0
2002.5.16,26393,27531,,,0
2002.5.17,29425,29671,,,0
2002.5.18,29477,24696,,,1
2002.5.19,33033,27790,,,1
2002.5.20,28548,27679,,,0
2002.5.21,23142,25073,,,0
2002.5.22,26207,27750,,,0
2002.5.23,24784,27318,,,0
2002.5.24,27754,28134,,,0
2002.5.25,26893,23033,,,1
2002.5.26,31414,26353,,,1
2002.5.27,26619,23944,,,0
2002.5.28,20771,20708,,,0
2002.5.29,24276,22430,,,0
2002.5.30,27346,21481,,,0
2002.5.31,27138,22639,,,0
2002.6.1,22791,24393,,,1
2002.6.2,28037,26123,,,1
2002.6.3,27134,21560,,,0
2002.6.4,19694,20030,,,0
2002.6.5,22463,29328,,,0
2002.6.6,25750,30116,,,1
2002.6.7,27852,22352,,,0
2002.6.8,25754,20201,,,1
2002.6.9,37707,23635,,,1
2002.6.10,30955,23911,,,0
2002.6.11,21282,22339,,,0
2002.6.12,27011,27452,,,0
2002.6.13,24418,27197,,,1
2002.6.14,25093,31648,,,0
2002.6.15,23945,27380,,,1
2002.6.16,29348,26664,,,1
2002.6.17,22269,26899,,,0
2002.6.18,19231,23465,,,0
2002.6.19,20809,27470,,,0
2002.6.20,22473,26391,,,0
2002.6.21,27863,25275,,,0
2002.6.22,25378,22425,,,1
2002.6.23,29270,29582,,,1
2002.6.24,25894,28016,,,0
2002.6.25,23718,23427,,,0
2002.6.26,23039,32171,,,0
2002.6.27,21956,29333,,,0
2002.6.28,27506,31117,,,0
2002.6.29,28177,27124,,,1
2002.6.30,30296,30621,,,1
2002.7.1,29182,26654,,,1
2002.7.2,26380,23572,,,0
2002.7.3,28033,27827,,,0
2002.7.4,26180,26407,,,0
2002.7.5,28951,29320,,,0
2002.7.6,26776,24405,,,1
2002.7.7,30838,30664,,,1
2002.7.8,28947,30495,,,0
