date,arrival,departure
2002-01-01,25273,20535
2002-01-02,29005,25957
2002-01-03,23532,28133
2002-01-04,21325,31923
2002-01-05,19965,29782
2002-01-06,25498,32022
2002-01-07,21942,28796
2002-01-08,18743,25980
2002-01-09,22808,27447
2002-01-10,19813,28270
2002-01-11,23643,29157
2002-01-12,27057,25262
2002-01-13,29585,26481
2002-01-14,27023,29715
2002-01-15,18726,24101
2002-01-16,28063,31191
2002-01-17,24787,29092
2002-01-18,28634,30572
2002-01-19,29545,25393
2002-01-20,34201,29119
2002-01-21,30890,28494
2002-01-22,25992,25988
2002-01-23,28682,29012
2002-01-24,24556,29106
2002-01-25,29390,30047
2002-01-26,29364,25914
2002-01-27,34322,28468
2002-01-28,32904,26611
2002-01-29,27180,22397
2002-01-30,30978,26358
2002-01-31,27126,25547
2002-02-01,28500,27143
2002-02-02,26610,22373
2002-02-03,30453,24167
2002-02-04,28742,20694
2002-02-05,24739,18898
2002-02-06,27779,23518
2002-02-07,24657,25497
2002-02-08,27468,31943
2002-02-09,30508,41167
2002-02-10,26041,37204
2002-02-11,23874,26771
2002-02-12,28486,15126
2002-02-13,45824,21415
2002-02-14,32767,21917
2002-02-15,28664,25411
2002-02-16,27627,26968
2002-02-17,31932,33511
2002-02-18,29304,31595
2002-02-19,26739,29301
2002-02-20,28605,32900
2002-02-21,23927,32521
2002-02-22,28233,33830
2002-02-23,28770,31193
2002-02-24,33140,33638
2002-02-25,31396,30232
2002-02-26,28698,26939
2002-02-27,31934,31428
2002-02-28,27960,33817
2002-03-01,31719,34642
2002-03-02,29924,25841
2002-03-03,35297,26866
2002-03-04,30769,25146
2002-03-05,25786,24766
2002-03-06,26441,27861
2002-03-07,24671,26958
2002-03-08,28937,27273
2002-03-09,27681,24055
2002-03-10,30116,29211
2002-03-11,27445,26169
2002-03-12,23769,24840
2002-03-13,25652,28510
2002-03-14,25051,27204
2002-03-15,27938,28389
2002-03-16,27845,25080
2002-03-17,31364,27998
2002-03-18,27676,26580
2002-03-19,24878,24487
2002-03-20,28215,28586
2002-03-21,26571,29032
2002-03-22,28686,28998
2002-03-23,27979,26855
2002-03-24,32649,30960
2002-03-25,31324,26394
2002-03-26,26836,25778
2002-03-27,29605,28994
2002-03-28,28570,28656
2002-03-29,30158,29233
2002-03-30,27490,26061
2002-03-31,29251,28970
2002-04-01,26794,28251
2002-04-02,22986,26202
2002-04-03,23737,30620
2002-04-04,21317,34621
2002-04-05,24201,37206
2002-04-06,26507,26667
2002-04-07,39398,28543
2002-04-08,31764,26278
2002-04-09,25696,24858
2002-04-10,25628,27826
2002-04-11,26307,25625
2002-04-12,32050,27592
2002-04-13,28676,23848
2002-04-14,31148,29783
2002-04-15,29363,27815
2002-04-16,25153,27197
2002-04-17,26527,29973
2002-04-18,27155,28224
2002-04-19,31099,29981
2002-04-20,28293,26310
2002-04-21,32695,31635
2002-04-22,28363,29493
2002-04-23,23068,26906
2002-04-24,26383,29878
2002-04-25,27386,28984
2002-04-26,30341,29594
2002-04-27,32093,25083
2002-04-28,34166,26664
2002-04-29,26314,28087
2002-04-30,23666,22499
2002-05-01,28451,24051
2002-05-02,28016,20904
2002-05-03,31538,24529
2002-05-04,23461,24906
2002-05-05,25206,32215
2002-05-06,22223,31838
2002-05-07,20043,26197
2002-05-08,24021,25930
2002-05-09,22387,25794
2002-05-10,25119,28015
2002-05-11,25258,24502
2002-05-12,32024,27884
2002-05-13,26516,25067
2002-05-14,23799,24491
2002-05-15,26752,29663
2002-05-16,26393,27531
2002-05-17,29425,29671
2002-05-18,29477,24696
2002-05-19,33033,27790
2002-05-20,28548,27679
2002-05-21,23142,25073
2002-05-22,26207,27750
2002-05-23,24784,27318
2002-05-24,27754,28134
2002-05-25,26893,23033
2002-05-26,31414,26353
2002-05-27,26619,23944
2002-05-28,20771,20708
2002-05-29,24276,22430
2002-05-30,27346,21481
2002-05-31,27138,22639
2002-06-01,22791,24393
2002-06-02,28037,26123
2002-06-03,27134,21560
2002-06-04,19694,20030
2002-06-05,22463,29328
2002-06-06,25750,30116
2002-06-07,27852,22352
2002-06-08,25754,20201
2002-06-09,37707,23635
2002-06-10,30955,23911
2002-06-11,21282,22339
2002-06-12,27011,27452
2002-06-13,24418,27197
2002-06-14,25093,31648
2002-06-15,23945,27380
2002-06-16,29348,26664
2002-06-17,22269,26899
2002-06-18,19231,23465
2002-06-19,20809,27470
2002-06-20,22473,26391
2002-06-21,27863,25275
2002-06-22,25378,22425
2002-06-23,29270,29582
2002-06-24,25894,28016
2002-06-25,23718,23427
